Type,textId,Text
ActorNamesShadows,0,Brian
ActorNamesShadows,1,Dakota
ActorNamesShadows,2,???
ActorNamesShadows,3,Tirapiedi
ActorNamesShadows,4,Vittima Patetica
ActorNamesShadows,5,Spettro
ActorNamesShadows,6,???
ActorNamesShadows,7,Un Tizio
ActorNamesShadows,8,Valerie
ActorNamesShadows,9,???
ActorNamesShadows,10,Katherine
ActorNamesShadows,11,Qadir
ActorNamesShadows,12,Addison Payne
ActorNamesShadows,13,???
ActorNamesShadows,14,Carter Vanderweyden
ActorNamesShadows,15,Samira
ActorNamesShadows,16,???
ActorNamesShadows,17,Benoit
ActorNamesShadows,18,Padre Leonard
ActorNamesShadows,19,Aisling Sturbridge
ActorNamesShadows,20,Thomas Arturo
ActorNamesShadows,21,Hellene Panhard
ActorNamesShadows,22,Boss Callihan
ActorNamesShadows,23,Servitore di Payne
ActorNamesShadows,24,Mia
ActorNamesShadows,25,???
ActorNamesShadows,26,Tamika
ActorNamesShadows,27,D'Angelo
ActorNamesShadows,28,Agathon
ActorNamesShadows,29,Ragazza Affranta
ActorNamesShadows,30,Principessa
ActorNamesShadows,31,Intervistatrice di Strada
ActorNamesShadows,32,Charlie
ActorNamesShadows,33,Stalker Mingherlino
ActorNamesShadows,34,Uomo Vissuto
ActorNamesShadows,35,Concierge
ActorNamesShadows,36,Direttore
ActorNamesShadows,37,Julia
ActorNamesShadows,38,Donna Frenetica
ActorNamesShadows,39,Tirapiedi
ActorNamesShadows,40,Vittima
ActorNamesShadows,41,Podista
ActorNamesShadows,42,Testa di Legno
ActorNamesShadows,43,Nigel
ActorNamesShadows,44,Romero
ActorNamesShadows,45,Hope
ActorNamesShadows,46,Nastya
ActorNamesShadows,47,Torque
ActorNamesShadows,48,Passante
ActorNamesShadows,49,???
ActorNamesShadows,50,Kaiser
ActorNamesShadows,51,Intruso
ActorNamesShadows,52,TUTORIAL
ActorNamesShadows,53,Hana
DictionaryDatabaseShadows,0,La Bestia
DictionaryDatabaseShadows,1,"Un pozzo senza fondo di ferocia e fame, sempre appena sotto la superficie, che mi supplica di perdere il controllo. Ce l’hanno tutti i vampiri, alcuni peggio di altri, e si presenta in molte forme. Non so cosa succederebbe se cedessi a questa pulsione, ma qualcosa mi dice che non mi piacerebbe."
DictionaryDatabaseShadows,2,La Camarilla
DictionaryDatabaseShadows,3,"I pezzi grossi della città (uomini e donne). La più grande setta di vampiri di cui io sappia. Va d’accordo con i mortali; o meglio, se li suona come un violino. Manipolatrice e rigida nella struttura, quasi feudale, davvero (c’è di mezzo un Principe, non scherzo). Investe moltissimo nel mantenere la Masquerade e le altre cosiddette Tradizioni, il che aiuta con i due punti precedenti."
DictionaryDatabaseShadows,4,Infante
DictionaryDatabaseShadows,5,Come un sire chiama la propria progenie vampirica quando fa la cattiva. Un po’ come quando una madre esausta chiama il figlio per nome e cognome. Tende anche a essere la scelta obbligata di chi si sente a corto di argomenti e ha bisogno di far pesare la propria anzianità. Il plurale è «infanti».
DictionaryDatabaseShadows,6,Clan
DictionaryDatabaseShadows,7,"L’albero genealogico di un vampiro; nello specifico, chi condivide lo stesso Sangue. Immagina tutti i tuoi consanguinei - tutti quelli che riesci a figurarti intorno al tavolo a Natale - con gli stessi punti di forza e le stesse afflizioni. Più difficile da visualizzare se vieni da una famiglia numerosa, ma anche così ti stai immaginando qualche decina di persone al massimo. In un clan qualunque ci sono centinaia di vampiri, forse di più."
DictionaryDatabaseShadows,8,Coterie
DictionaryDatabaseShadows,9,"Un piccolo gruppo affiatato di Fratelli che si guardano le spalle a vicenda e hanno qualcosa in comune (passioni, interessi, un rifugio, la sete di POTERE ASSOLUTO, quello che è)."
DictionaryDatabaseShadows,10,L'Abbraccio
DictionaryDatabaseShadows,11,"Il modo in cui un vampiro trasforma la sua preda umana in un altro vampiro, per un motivo qualunque. Come quasi tutto, i dettagli sono un po’ più macabri delle immagini romanticizzate che Hollywood ci ha ficcato in gola negli anni (a meno che il dissanguamento totale seguito dalla sostituzione dei tuoi fluidi vitali con quelli di qualcun altro non ti suoni romantico)."
DictionaryDatabaseShadows,12,Infante
DictionaryDatabaseShadows,13,"Un vampiro neonato (che tenero!)-- cioè uno così nuovo, che ha capito così poco, da avere ancora bisogno del sire che lo protegga. Il mio periodo da infante è stato tagliato corto dalla partenza fulminea di Caren. Ho dovuto imparare il mestiere da sola, e quasi nessuna di quelle lezioni è stata piacevole."
DictionaryDatabaseShadows,14,La Fame
DictionaryDatabaseShadows,15,"L’impulso del vampiro a nutrirsi. Sovrasta ogni altro bisogno, e si dice che provare a ignorarlo sia il modo più semplice per preparare la Bestia - quella passeggera oscura e sempre assetata di sangue che accompagna la non-vita di ogni vampiro - a prendersi il comando con la forza."
DictionaryDatabaseShadows,16,Vitae
DictionaryDatabaseShadows,17,"Un termine arcaico per il Sangue. Per quel che ho visto, si trova di rado fuori dai manuali polverosi e dai discorsi pomposi della Camarilla."
DictionaryDatabaseShadows,18,Morte Ultima
DictionaryDatabaseShadows,19,"Per i mortali la morte è definita come «la cessazione totale di ogni attività biologica». Ma i vampiri, essendo non-morti, affrontano due momenti in cui muoiono: il primo quando finisce la loro vita mortale, e un secondo, definitivo, quando smettono davvero di «esistere». Di solito comporta la rapida decomposizione del corpo, fino a ridursi in polvere se sei abbastanza vecchio… come se il tempo ti avesse finalmente raggiunto."
